realty_id,type,offer_type,square_meters,year_built,land_area,total_floors,floor,registered,heating_type,total_rooms,total_bathrooms,price,city,quarter,webpage
19018,kuca,prodaja,361.0,,,,,,,5,,190000.0,Kragujevac,Erdoglija,https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-kragujevac-erdoglija/NkXdx5s34me/
19019,kuca,prodaja,340.0,,,,,,Samostalno,5,,42000.0,Kragujevac,Petrovac,https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-kragujevac-petrovac/Nkdi_LGWAVe/
19021,kuca,prodaja,120.0,,,,1,,,5,,100000.0,Kragujevac,,https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-kragujevac-marsic/NkBuBQjJvC9/
19022,kuca,prodaja,600.0,2004,,,,True,"Samostalno, Klima",,,2500000.0,Beograd,Dedinje (Beli dvor),https://www.nekretnine.rs/stambeni-objekti/kuce/savski-venac-dedinje-generala-save-grujica-600m2-generala-save-grujica/194043/
19023,kuca,prodaja,130.0,,,,,True,Centralno,4,,110000.0,Kragujevac,Centar,https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-u-centru-grada/NkP_FWJBUK_T/
19024,kuca,prodaja,320.0,,,,,,,5,,90000.0,Kragujevac,,https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-u-sumskom-raju/Nk7sDr1dCGJ/
19025,kuca,prodaja,65.0,,,,,,Centralno,3,,82500.0,Kragujevac,Pivara,https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-kragujevac-pivara/NkQ5ZptU-JJ/
19026,kuca,prodaja,180.0,,,,1,,Centralno,5,,54000.0,Kragujevac,Beloševac,https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-kragujevac-belosevac/NkNex50wzQB/
19027,kuca,prodaja,200.0,,,,1,,Samostalno,5,,100000.0,Kragujevac,Korićani,https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-kragujevac-koricani/NkIEiTUAfAm/
19028,kuca,prodaja,100.0,,,,,,,4,,110000.0,Kragujevac,Centar,https://www.nekretnine.rs/stambeni-objekti/kuce/nova-kuca-u-glavnoj-ulici/Nk_PCkr1---/
19029,kuca,prodaja,190.0,,,,,,,5,,32000.0,Kragujevac,Petrovac,https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-kragujevac-petrovac/NkFX12ps3c3/
19030,kuca,prodaja,150.0,,,,,True,,5,,28000.0,Kragujevac,,https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-u-opornici/NkSR_xrFjx9/
19031,kuca,prodaja,300.0,,,,-1,,Samostalno,,,209500.0,Beograd,Dušanovac,https://www.nekretnine.rs/stambeni-objekti/kuce/300-m2-kuca-dusanovac-agencijski-id-8284/14826/
19032,kuca,prodaja,130.0,,,,,,,4,,25000.0,Kragujevac,Zvezda,https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-kragujevac-zvezda/NkGIwmqulKC/
19033,kuca,prodaja,260.0,1991,,,,,,6,2,100000.0,Beograd,Višnjica,https://www.nekretnine.rs/stambeni-objekti/kuce/visnjica-nova-109-nedovrsena-kuca/190256/
19034,kuca,prodaja,89.0,1959,,,,True,Samostalno,4,2,160000.0,Beograd,Višnjica,https://www.nekretnine.rs/stambeni-objekti/kuce/visnjica-marsala-tita-kuca-plac-10a/190258/
19035,kuca,prodaja,50.0,,,,,True,Samostalno,3,,17500.0,Aranđelovac,,https://www.nekretnine.rs/stambeni-objekti/kuce/arandelovac-bukovik-50m2/189875/
19036,kuca,prodaja,70.0,,,,,,,3,,15000.0,Kragujevac,,https://www.nekretnine.rs/stambeni-objekti/kuce/seosko-imanje-njive-suma-seoska-kuca/Nkrl07tyRCk/
19037,kuca,prodaja,100.0,,,,,,Samostalno,4,,45000.0,Kragujevac,Stanovo,https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-u-stanovu-sa-lokalom-moguc-dogovor-za-odvajanje-lokala-od-kuce/Nkm3I9DIWGx/
